Q-ID,Answer,Student Assigned Label,Predicted
2,shabang,incorrect,incorrect
2,you control all variables but one,correct,incorrect
2,change only one variable at a given time,correct,correct
2,experiment controlled time variable changed,incorrect,correct
0,a thing that absorbs a lot of heat,correct,correct
7,a variable is a variable,correct,incorrect
7,a variable is a variable,correct,incorrect
7,a definition ,correct,incorrect
63,a datatstructure,correct,incorrect
0,heat heat heat,incorrect,incorrect
0,heat heat heat,incorrect,incorrect
0,heat sink,incorrect,incorrect
0,something that emits a lot of heat,contradictory,correct
0,something that sucks up a lot of heat,correct,correct
0,something that sucks up a lot of heat,correct,correct
0,none exists heat sink,incorrect,contradictory
1,because reasons growing,incorrect,incorrect
0,Something that absorbs heat.,correct,correct
0,Something that emits heat.,contradictory,correct
0,I like trains.,incorrect,incorrect
0,You wash your hands in it.,incorrect,incorrect
0,None exists it emits heat.,correct,correct
0,part of a main board,correct,incorrect
1,It needs to get nutrients from the ground in order to grow.,correct,incorrect
65,part of a tree,correct,incorrect
0,a part to remove heat,correct,incorrect
0,It cools its surrounding,correct,incorrect
0,it heats the surrounding.,incorrect,incorrect
0,The heat sink regulates the temperature of a processor,correct,incorrect
0,A heat sink is an object that lowers the temperature of adjacent parts of a computer.,correct,correct
0,something that absorbs heat,correct,correct
18,The entire program,correct,incorrect
0,A heat sink is an object that regulates the temperature of adjacent parts of a computer.,correct,incorrect
0,something to eat in a computer with heat,incorrect,incorrect
7,"Bedeutungsleere Zeichen, welche die Stellen anzeigen an welchen bedeutungsvolle Konstanten eingesetzt werden.",correct,incorrect
7,Ein Platzhalter für einzusetzende Werte innerhalb eines Programms,correct,incorrect
0,something to eat built into a computer,incorrect,incorrect
0,part of a computer to cook with heat,incorrect,incorrect
7,An abstract container that contains data of a specific type. This data can be referenced by the name of the variable.\n,correct,incorrect
7,X,incorrect,incorrect
7,Banana,incorrect,incorrect
7,A variable is a variable,incorrect,incorrect
0,A heat sink usually lowers temperatures.,correct,incorrect
0,A heat sink is green.,contradictory,incorrect
0,A heat sink sinks heat.,correct,incorrect
0,A heat sink is a sink filled with warm water.,incorrect,incorrect
0,the heat sink is a part of a computer and as large as the universe,incorrect,incorrect
0,the heat sink emits heat and tries to melt the processor,incorrect,correct
1,Because it does ,incorrect,incorrect
1,It needs to grow towards the center of the earth.,incorrect,incorrect
1,The seed thinks it is more beautiful that way.,incorrect,incorrect
0,A heat sink transfers thermal energy from a higher temperature device to a lower temperature fluid medium,correct,correct
7,A variable value,incorrect,incorrect
7,"A character without value, that gets replaced by a valuable constant",correct,contradictory
7,A Placeholder for predefined values in a program,incorrect,incorrect
7,A part of a program,correct,incorrect
0,works because of Fourier's law of heat conduction,correct,incorrect
2,A controlled experiment is simply an experiment in which all factors are held constant except for one: the independent variable.,correct,correct
2,A controlled experiment is an experiment without influencing the factors.,incorrect,incorrect
0,A wild heat sink can withstand enormous temperatures and cools his friends.,correct,incorrect
0,A wild heat sink can withstand enormous temperatures and cools his friends.,incorrect,incorrect
2,A controlled experiment is simply an experiment in which all factors are held constant except for one: the independent variable.,correct,correct
2,A controlled experiment is an experiment without influencing the factors.,incorrect,incorrect
2,An experiment with only one person.,incorrect,incorrect
2,An experiment with one factor that is held constant and the rest is independent.,incorrect,incorrect
0,A heat sink is my best friend.,contradictory,incorrect
2,A controlled experiment is simply an experiment in which all factors are held constant except for one: the independent variable.,correct,correct
2,A controlled experiment is an experiment without influencing the factors.,incorrect,incorrect
2,None exists An experiment with only one person.,incorrect,correct
2,None exists An experiment with one factor that is held constant and the rest is independent.,incorrect,correct
0,A heat sink is a very cool guy.,contradictory,incorrect
0,A heat sink is not a very cool guy.,contradictory,incorrect
0,A heat sink is an object.,contradictory,incorrect
0,A heat sink is an object.,correct,incorrect
1,Non exsists I am groot!,incorrect,incorrect
0,A heat sink is an animal.,incorrect,incorrect
1,None exsists I am groot!,incorrect,incorrect
0,A heat sink,correct,incorrect
1,None exsists I am groot!,incorrect,incorrect
1,I am groot!,incorrect,incorrect
26,None exists through a pipeline.,incorrect,incorrect
26,Through a pipeline.,incorrect,incorrect
0,What does the fox say?,contradictory,incorrect
1,None exists I am groot!,incorrect,incorrect
1,I am groot!,incorrect,incorrect
0,The answer is yes.,incorrect,incorrect
2,None exists An experiment with only one person.,incorrect,correct
2,An Experiment with only one person.,correct,incorrect
0,"A heat sink is a passive heat exchanger that transfers the heat generated by an electronic or a mechanical device to a fluid medium, often air or a liquid coolant, where it is dissipated away from the device, thereby allowing regulation of the device's temperature at optimal levels.",correct,correct
0,"In computers, heat sinks are used to cool CPUs, GPUs, and some chipsets and RAM modules.\n",correct,incorrect
2,None exists An experiment with only one person.,incorrect,correct
2,None exists experiment,correct,incorrect
1,Because god wants it that way.,incorrect,incorrect
1,Because the root is as fast as Usain Bolt.,incorrect,incorrect
1,The plant needs water.,correct,correct
1,The plant needs no water.,contradictory,correct
1,The internet knows.,correct,incorrect
0,I don't know,correct,incorrect
1,42,correct,incorrect
2,None exists An experiment with only one person.,incorrect,correct
2,None exists experiment,incorrect,incorrect
2,None exists one man experiment,incorrect,incorrect
2,None exists one person,incorrect,incorrect
6,42,correct,contradictory
6,-42,incorrect,incorrect
6,01.01.1942,incorrect,incorrect
2,None exists An experiment with only one person.,incorrect,correct
2,An experiment with only one person,incorrect,incorrect
2,None exists one man experiment,incorrect,incorrect
2,None exists one person,incorrect,incorrect
1,root water stability,incorrect,incorrect
1,I am groot!,incorrect,incorrect
65,42,correct,contradictory
1,root water stability,incorrect,incorrect
1,42,correct,incorrect
1,Because the plant needs water and also get's stability.,correct,correct
1,To be able to get water.,correct,correct
1,To get stability when the rest of the plant grows.,correct,incorrect
1,Because the plant needs water and also get's stability.,correct,correct
1,To be able to get water.,correct,correct
1,To get stability when the rest of the plant grows.,correct,incorrect
1,plant water.,incorrect,correct
1,Because the plant grows water.,correct,incorrect
1,Because the plant needs water and also get's stability.,correct,correct
1,To be able to get water.,correct,correct
1,To get stability when the rest of the plant grows.,correct,incorrect
1,plant water.,incorrect,correct
1,Because the plant grows water.,incorrect,incorrect
1,Because the plant needs water and also get's stability.,correct,correct
1,To be able to get water.,correct,correct
1,To get stability when the rest of the plant grows.,correct,incorrect
1,water,incorrect,incorrect
1,Because the plant flows water and also grows stability.,incorrect,incorrect
1,Because the plant needs water and also get's stability.,correct,correct
1,To be able to get water.,correct,correct
1,To get stability when the rest of the plant grows.,correct,incorrect
1,water,incorrect,incorrect
1,Tobe able to get water.,correct,incorrect
1,Because the plant needs water and also get's stability.,correct,correct
1,To be able to get water.,correct,correct
1,To get stability when the rest of the plant grows.,correct,incorrect
1,water,incorrect,incorrect
1,Be able to get water.,correct,correct
1,Because the plant needs water and also get's stability.,correct,correct
1,To be able to get water.,correct,correct
1,To get stability when the rest of the plant grows.,correct,incorrect
1,water,incorrect,incorrect
1,Because the plant needs the roots to get the water out of the soil.,correct,correct
1,Because the plant needs water and also get's stability.,correct,correct
1,To be able to get water.,correct,correct
